SpectraSuite Data File			
++++++++++++++++++++++++++++++++++++			
Date: Wed Mar 11 14:48:38 CET 2026			
User: User			
Dark Spectrum Present: No			
Reference Spectrum Present: No			
Number of Sampled Component Spectra: 1			
Spectrometers: USB2G10323			
Integration Time (usec): 20000 (USB2G10323)			
Spectra Averaged: 1 (USB2G10323)			
Boxcar Smoothing: 0 (USB2G10323)			
Correct for Electrical Dark: No (USB2G10323)			
Strobe/Lamp Enabled: No (USB2G10323)			
Correct for Detector Non-linearity: No (USB2G10323)			
Correct for Stray Light: No (USB2G10323)			
Number of Pixels in Processed Spectrum: 2048			
>>>>>Begin Processed Spectral Data<<<<<			
436,94	1402	212	106
437,31	1419	205	102,5
437,68	1552	212	106
438,05	1578	212	106
438,41	1676	214	107
438,78	1772	214	107
439,15	1832	214	107
439,52	1917	212	106
439,89	1996	215	107,5
440,26	2090	215	107,5
440,62	2171	208	104
440,99	2312	214	107
441,36	2340	215	107,5
441,73	2424	213	106,5
442,1	2501	210	105
442,47	2655	209	104,5
442,83	2729	217	108,5
443,2	2790	211	105,5
443,57	2829	210	105
443,94	2930	215	107,5
444,31	3024	208	104
444,67	3105	212	106
445,04	3099	213	106,5
445,41	3099	210	105
445,78	3188	210	105
446,15	3301	214	107
446,51	3252	211	105,5
446,88	3268	211	105,5
447,25	3301	213	106,5
447,62	3287	212	106
447,98	3254	208	104
448,35	3180	208	104
448,72	3160	210	105
449,09	3150	208	104
449,46	3032	213	106,5
449,82	2987	214	107
450,19	2915	212	106
450,56	2857	218	109
450,92	2819	212	106
451,29	2685	211	105,5
451,66	2701	212	106
452,03	2618	212	106
452,39	2519	213	106,5
452,76	2431	219	109,5
453,13	2382	212	106
453,49	2363	215	107,5
453,86	2267	211	105,5
454,23	2191	212	106
454,6	2164	206	103
454,96	2122	215	107,5
455,33	2068	212	106
455,7	1983	214	107
456,06	2016	217	108,5
456,43	1934	215	107,5
456,8	1939	214	107
457,16	1907	213	106,5
457,53	1907	211	105,5
457,9	1837	214	107
458,26	1840	210	105
458,63	1826	210	105
459	1773	214	107
459,36	1772	219	109,5
459,73	1812	217	108,5
460,09	1784	213	106,5
460,46	1744	212	106
460,83	1752	207	103,5
461,19	1740	214	107
461,56	1678	213	106,5
461,93	1681	212	106
462,29	1705	215	107,5
462,66	1649	216	108
463,02	1612	212	106
463,39	1592	218	109
463,76	1569	212	106
464,12	1538	208	104
464,49	1500	210	105
464,85	1513	214	107
465,22	1493	212	106
465,58	1469	211	105,5
465,95	1423	211	105,5
466,32	1422	207	103,5
466,68	1386	212	106
467,05	1365	212	106
467,41	1362	214	107
467,78	1330	210	105
468,14	1305	207	103,5
468,51	1294	210	105
468,87	1273	216	108
469,24	1276	210	105
469,6	1230	215	107,5
469,97	1226	210	105
470,33	1212	215	107,5
470,7	1207	211	105,5
471,06	1218	213	106,5
471,43	1210	212	106
471,79	1207	215	107,5
472,16	1237	211	105,5
472,52	1194	211	105,5
472,89	1215	211	105,5
473,25	1207	215	107,5
473,62	1208	208	104
473,98	1207	215	107,5
474,35	1217	217	108,5
474,71	1242	214	107
475,08	1225	215	107,5
475,44	1238	210	105
