339,75	0,00
340,13	202,00
340,51	203,00
340,89	205,00
341,27	202,00
341,65	389,00
342,03	232,00
342,40	221,00
342,78	227,00
343,16	272,00
343,54	232,00
343,92	256,00
344,30	260,00
344,67	232,00
345,05	557,00
345,43	268,00
345,81	600,00
346,19	232,00
346,56	262,00
346,94	262,00
347,32	232,00
347,70	271,00
348,08	260,00
348,45	260,00
348,83	258,00
349,21	223,00
349,59	224,00
349,96	230,00
350,34	229,00
350,72	259,00
351,10	404,00
351,48	312,00
351,85	234,00
352,23	542,00
352,61	266,00
352,98	231,00
353,36	223,00
353,74	225,00
354,12	225,00
354,49	230,00
354,87	239,00
355,25	225,00
355,63	223,00
356,00	323,00
356,38	230,00
356,76	1982,00
357,13	273,00
357,51	286,00
357,89	238,00
358,26	280,00
358,64	223,00
359,02	220,00
359,40	261,00
359,77	255,00
360,15	227,00
360,53	221,00
360,90	227,00
361,28	286,00
361,65	429,00
362,03	229,00
362,41	282,00
362,78	227,00
363,16	227,00
363,54	247,00
363,91	280,00
364,29	224,00
364,67	224,00
365,04	216,00
365,42	223,00
365,79	217,00
366,17	220,00
366,55	260,00
366,92	265,00
367,30	268,00
367,67	221,00
368,05	222,00
368,43	226,00
368,80	228,00
369,18	434,00
369,55	230,00
369,93	276,00
370,31	291,00
370,68	227,00
371,06	260,00
371,43	261,00
371,81	233,00
372,18	261,00
372,56	229,00
372,93	221,00
373,31	240,00
373,68	221,00
374,06	223,00
374,44	231,00
374,81	220,00
375,19	256,00
375,56	222,00
375,94	221,00
376,31	266,00
376,69	257,00
377,06	256,00
377,44	232,00
377,81	305,00
378,19	298,00
378,56	224,00
378,94	215,00
379,31	228,00
379,68	252,00
380,06	218,00
380,43	222,00
380,81	217,00
381,18	225,00
381,56	220,00
381,93	219,00
382,31	416,00
382,68	337,00
383,06	263,00
383,43	483,00
383,80	230,00
384,18	217,00
384,55	429,00
384,93	222,00
385,30	257,00
385,68	275,00
386,05	222,00
386,42	233,00
386,80	218,00
387,17	226,00
387,55	217,00
387,92	358,00
388,29	229,00
388,67	249,00
389,04	226,00
389,42	260,00
389,79	221,00
390,16	225,00
390,54	282,00
390,91	225,00
391,28	223,00
391,66	218,00
392,03	235,00
392,40	293,00
392,78	223,00
393,15	224,00
393,52	232,00
393,90	225,00
394,27	220,00
394,64	614,00
395,02	236,00
395,39	270,00
395,76	483,00
396,14	233,00
396,51	257,00
396,88	248,00
397,26	218,00
397,63	291,00
398,00	228,00
398,37	255,00
398,75	221,00
399,12	265,00
399,49	250,00
399,86	226,00
400,24	220,00
400,61	222,00
400,98	219,00
401,36	223,00
401,73	223,00
402,10	219,00
402,47	245,00
402,85	260,00
403,22	261,00
403,59	292,00
403,96	262,00
404,33	261,00
404,71	226,00
405,08	225,00
405,45	221,00
405,82	248,00
406,19	719,00
406,57	242,00
406,94	412,00
407,31	483,00
407,68	263,00
408,05	258,00
408,43	292,00
408,80	233,00
409,17	221,00
409,54	224,00
409,91	223,00
410,28	219,00
410,66	297,00
411,03	221,00
411,40	219,00
411,77	221,00
412,14	252,00
412,51	230,00
412,88	283,00
413,26	232,00
413,63	221,00
414,00	219,00
414,37	219,00
414,74	220,00
415,11	217,00
415,48	242,00
415,85	753,00
416,23	235,00
416,60	220,00
416,97	242,00
417,34	287,00
417,71	221,00
418,08	225,00
418,45	226,00
418,82	286,00
419,19	224,00
419,56	373,00
419,93	282,00
420,30	911,00
420,67	239,00
421,04	221,00
421,42	223,00
421,79	220,00
422,16	223,00
422,53	229,00
422,90	239,00
423,27	296,00
423,64	233,00
424,01	224,00
424,38	221,00
424,75	223,00
425,12	227,00
425,49	249,00
425,86	258,00
426,23	255,00
426,60	413,00
426,97	384,00
427,34	243,00
427,71	292,00
428,08	297,00
428,45	231,00
428,82	264,00
429,19	498,00
429,56	240,00
429,92	237,00
430,29	225,00
430,66	231,00
431,03	229,00
431,40	317,00
431,77	280,00
432,14	268,00
432,51	238,00
432,88	228,00
433,25	234,00
433,62	261,00
433,99	275,00
434,36	275,00
434,73	412,00
435,09	544,00
435,46	247,00
435,83	306,00
436,20	247,00
436,57	243,00
436,94	382,00
437,31	249,00
437,68	284,00
438,05	282,00
438,41	299,00
438,78	256,00
439,15	247,00
439,52	255,00
439,89	257,00
440,26	294,00
440,62	259,00
440,99	296,00
441,36	268,00
441,73	264,00
442,10	297,00
442,47	311,00
442,83	307,00
443,20	265,00
443,57	269,00
443,94	288,00
444,31	271,00
444,67	298,00
445,04	274,00
445,41	280,00
445,78	277,00
446,15	271,00
446,51	275,00
446,88	306,00
447,25	284,00
447,62	489,00
447,98	283,00
448,35	278,00
448,72	702,00
449,09	289,00
449,46	270,00
449,82	765,00
450,19	285,00
450,56	281,00
450,92	309,00
451,29	302,00
451,66	273,00
452,03	271,00
452,39	268,00
452,76	272,00
453,13	269,00
453,49	270,00
453,86	290,00
454,23	262,00
454,60	258,00
454,96	255,00
455,33	262,00
455,70	266,00
456,06	320,00
456,43	264,00
456,80	324,00
457,16	260,00
457,53	259,00
457,90	282,00
458,26	255,00
458,63	252,00
459,00	257,00
459,36	419,00
459,73	290,00
460,09	250,00
460,46	274,00
460,83	252,00
461,19	251,00
461,56	286,00
461,93	294,00
462,29	286,00
462,66	320,00
463,02	288,00
463,39	252,00
463,76	248,00
464,12	255,00
464,49	241,00
464,85	287,00
465,22	510,00
465,58	256,00
465,95	285,00
466,32	284,00
466,68	292,00
467,05	466,00
467,41	252,00
467,78	252,00
468,14	246,00
468,51	252,00
468,87	251,00
469,24	286,00
469,60	277,00
469,97	243,00
470,33	242,00
470,70	608,00
471,06	280,00
471,43	256,00
471,79	248,00
472,16	288,00
472,52	249,00
472,89	397,00
473,25	257,00
473,62	271,00
473,98	245,00
474,35	242,00
474,71	283,00
475,08	309,00
475,44	241,00
475,81	243,00
476,17	246,00
476,54	240,00
476,90	240,00
477,27	249,00
477,63	384,00
477,99	252,00
478,36	322,00
478,72	247,00
479,09	277,00
479,45	258,00
479,82	245,00
480,18	284,00
480,54	257,00
480,91	247,00
481,27	312,00
481,64	355,00
482,00	241,00
482,36	284,00
482,73	244,00
483,09	310,00
483,45	256,00
483,82	264,00
484,18	257,00
484,55	317,00
484,91	253,00
485,27	246,00
485,64	276,00
486,00	251,00
486,36	248,00
486,73	285,00
487,09	250,00
487,45	287,00
487,82	249,00
488,18	255,00
488,54	613,00
488,91	261,00
489,27	259,00
489,63	282,00
489,99	247,00
490,36	282,00
490,72	243,00
491,08	251,00
491,45	250,00
491,81	248,00
492,17	281,00
492,53	248,00
492,90	254,00
493,26	248,00
493,62	248,00
493,98	250,00
494,35	276,00
494,71	261,00
495,07	283,00
495,43	292,00
495,80	288,00
496,16	250,00
496,52	257,00
496,88	250,00
497,25	250,00
497,61	248,00
497,97	250,00
498,33	248,00
498,69	254,00
499,06	252,00
499,42	250,00
499,78	281,00
500,14	293,00
500,50	267,00
500,86	297,00
501,23	289,00
501,59	260,00
501,95	254,00
502,31	459,00
502,67	295,00
503,03	257,00
503,40	289,00
503,76	298,00
504,12	255,00
504,48	255,00
504,84	256,00
505,20	256,00
505,56	286,00
505,93	252,00
506,29	260,00
506,65	467,00
507,01	267,00
507,37	257,00
507,73	259,00
508,09	304,00
508,45	271,00
508,81	261,00
509,17	279,00
509,53	352,00
509,90	263,00
510,26	261,00
510,62	265,00
510,98	258,00
511,34	263,00
511,70	268,00
512,06	335,00
512,42	267,00
512,78	266,00
513,14	264,00
513,50	298,00
513,86	274,00
514,22	264,00
514,58	260,00
514,94	270,00
515,30	304,00
515,66	269,00
516,02	295,00
516,38	271,00
516,74	302,00
517,10	314,00
517,46	642,00
517,82	279,00
518,18	578,00
518,54	352,00
518,90	279,00
519,26	291,00
519,62	348,00
519,98	308,00
520,34	273,00
520,70	270,00
521,06	302,00
521,42	276,00
521,78	304,00
522,14	313,00
522,49	341,00
522,85	291,00
523,21	279,00
523,57	343,00
523,93	284,00
524,29	303,00
524,65	284,00
525,01	280,00
525,37	275,00
525,73	348,00
526,08	277,00
526,44	314,00
526,80	281,00
527,16	273,00
527,52	274,00
527,88	797,00
528,24	463,00
528,60	337,00
528,95	315,00
529,31	289,00
529,67	278,00
530,03	352,00
530,39	354,00
530,75	297,00
531,10	290,00
531,46	278,00
531,82	280,00
532,18	313,00
532,54	328,00
532,89	281,00
533,25	284,00
533,61	430,00
533,97	282,00
534,33	277,00
534,68	285,00
535,04	305,00
535,40	277,00
535,76	310,00
536,12	320,00
536,47	289,00
536,83	316,00
537,19	357,00
537,55	282,00
537,90	313,00
538,26	277,00
538,62	277,00
538,98	323,00
539,33	322,00
539,69	322,00
540,05	282,00
540,40	289,00
540,76	296,00
541,12	280,00
541,48	329,00
541,83	285,00
542,19	423,00
542,55	296,00
542,90	294,00
543,26	329,00
543,62	326,00
543,97	363,00
544,33	299,00
544,69	292,00
545,04	302,00
545,40	332,00
545,76	300,00
546,11	537,00
546,47	299,00
546,83	332,00
547,18	310,00
547,54	299,00
547,89	300,00
548,25	339,00
548,61	331,00
548,96	365,00
549,32	364,00
549,68	303,00
550,03	306,00
550,39	304,00
550,74	321,00
551,10	346,00
551,45	341,00
551,81	374,00
552,17	339,00
552,52	305,00
552,88	304,00
553,23	501,00
553,59	369,00
553,94	309,00
554,30	437,00
554,66	311,00
555,01	342,00
555,37	307,00
555,72	380,00
556,08	311,00
556,43	311,00
556,79	312,00
557,14	314,00
557,50	312,00
557,85	380,00
558,21	311,00
558,56	315,00
558,92	352,00
559,27	324,00
559,63	379,00
559,98	315,00
560,34	314,00
560,69	304,00
561,05	309,00
561,40	320,00
561,76	349,00
562,11	380,00
562,46	320,00
562,82	382,00
563,17	405,00
563,53	344,00
563,88	354,00
564,24	343,00
564,59	346,00
564,95	348,00
565,30	358,00
565,65	354,00
566,01	314,00
566,36	311,00
566,72	395,00
567,07	313,00
567,42	315,00
567,78	306,00
568,13	377,00
568,48	321,00
568,84	326,00
569,19	334,00
569,55	391,00
569,90	354,00
570,25	316,00
570,61	365,00
570,96	315,00
571,31	352,00
571,67	352,00
572,02	371,00
572,37	326,00
572,73	318,00
573,08	312,00
573,43	318,00
573,79	312,00
574,14	322,00
574,49	501,00
574,85	325,00
575,20	336,00
575,55	352,00
575,90	348,00
576,26	326,00
576,61	316,00
576,96	386,00
577,31	326,00
577,67	326,00
578,02	471,00
578,37	326,00
578,73	371,00
579,08	320,00
579,43	319,00
579,78	356,00
580,13	362,00
580,49	354,00
580,84	328,00
581,19	323,00
581,54	349,00
581,90	320,00
582,25	378,00
582,60	326,00
582,95	334,00
583,30	334,00
583,66	324,00
584,01	665,00
584,36	358,00
584,71	365,00
585,06	327,00
585,41	313,00
585,77	364,00
586,12	365,00
586,47	327,00
586,82	328,00
587,17	512,00
587,52	350,00
587,88	318,00
588,23	361,00
588,58	442,00
